Match Number,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3
1,4099,3179,9016,930,8513,8608
2,5907,7421,190,9564,624,2539
3,9403,3950,7028,9709,3284,1640
4,9787,5002,7660,7426,2590,3847
5,45,2137,4362,7848,8727,5687
6,125,7226,2485,6045,1279,5409
7,9008,2129,9752,5152,1622,144
8,3181,9416,6988,2200,2481,2521
9,5667,503,1014,7197,4159,4043
10,1561,2530,5987,346,6672,7531
11,2412,2472,4131,8575,4635,3654
12,8882,7567,2145,7166,4476,2068
13,7660,365,7848,1912,1640,9564
14,5409,8727,7426,3950,9016,930
15,7421,1279,9403,3847,2137,144
16,1622,9709,3179,2481,5687,7226
17,2590,624,8513,7028,4362,1014
18,5002,125,1561,5152,2200,8608
19,8575,2129,6672,6988,4159,4099
20,9752,8882,503,2485,190,2472
21,9416,6045,7197,7166,5907,2145
22,2521,4635,2068,4043,5987,346
23,5667,2539,7531,365,4131,4476
24,2412,9008,45,9787,1912,3284
25,2530,7567,5409,3181,3654,4362
26,2481,144,1014,125,9016,9564
27,8575,930,5687,6672,7028,3847
28,1640,8513,2200,8727,4159,7421
29,5152,8882,2472,4099,5907,9709
30,9403,624,5987,5002,7226,2129
31,3950,7197,365,2068,1622,190
32,7166,346,6988,2412,503,9787
33,3284,7848,2590,7567,2521,2539
34,5667,7426,1561,2145,2485,3181
35,9416,3654,7531,3179,1912,9752
36,45,7660,1279,8608,4635,2530
37,2137,4043,4131,4476,9008,6045
38,2200,5002,5409,7028,9564,8882
39,365,9709,8575,624,930,7197
40,9016,5987,2472,1640,4362,9787
41,5907,3847,7226,6672,2521,503
42,1622,5667,4099,1561,7567,9403
43,7848,3181,2412,2590,9752,3950
44,5152,190,2145,8513,7531,4635
45,7660,2539,1912,2068,2137,2485
46,4131,3284,6045,144,2530,7421
47,4476,2481,4159,346,45,7426
48,3654,1014,5687,6988,8727,1279
49,125,8608,4043,2129,7166,9416
50,9564,5667,9008,4362,3179,3847
51,6672,9016,9752,7197,9403,2200
52,930,5907,4635,7531,3181,1640
53,1622,2145,5987,2137,8575,1912
54,9709,2068,5409,8513,144,2412
55,2521,5002,4159,190,4476,2530
56,503,5152,624,3654,7660,2481
57,2539,125,7166,7226,6988,45
58,2590,8608,5687,365,8882,9008
59,2129,7426,7028,2472,6045,7848
60,7421,9787,7567,4043,3950,3179
61,2485,346,3284,1014,4099,9416
62,1279,4131,2068,9752,1561,8727
63,4635,9016,2137,4159,5667,5907
64,930,1912,503,4362,5152,2530
65,9709,9564,9403,7531,2521,45
66,1640,6988,2590,5409,2145,7226
67,8608,144,7028,5987,2539,7197
68,4476,3654,6672,9787,7848,125
69,7421,2481,5002,4099,365,2412
70,6045,4043,8727,8882,1561,624
71,5687,2485,8513,4131,2129,3950
72,9416,1279,7426,7567,8575,9008
73,3284,3179,7166,3181,190,7660
74,3847,2472,2200,1014,1622,346
75,9564,2068,7531,9016,503,6988
76,7226,7848,4159,144,930,2145
77,3654,2590,5907,5987,4476,8608
78,4362,7421,1912,125,7197,8882
79,2137,365,2481,8513,1561,2129
80,3950,9787,2521,1279,8575,5152
81,2539,9752,2530,4043,9709,7426
82,4635,45,3179,2485,7028,2200
83,8727,2472,1622,6672,3284,7660
84,9008,1640,190,1014,2412,7567
85,346,3181,6045,9403,5687,5002
86,624,7166,4099,4131,5409,5667
87,3847,1561,9016,8882,9416,7848
88,2481,7197,9564,930,2590,1279
89,7226,7531,2137,8608,7426,9787
90,8575,4043,4362,5907,2485,144
91,3284,503,1622,4476,125,8513
92,2145,9008,3654,7660,7421,9709
93,6988,9403,3179,2472,2530,365
94,4635,6672,3950,5002,1014,7166
95,1912,7028,346,7567,8727,4131
96,5987,190,5667,5409,45,9416
97,6045,3847,5152,4159,2068,3181
98,2521,4099,1640,624,5687,9752
99,2200,2129,8882,2539,2412,930
100,7848,2145,8608,2481,3284,4043
101,2530,8575,2485,9016,2590,7421
102,7166,9787,3654,1561,9564,1622
103,7426,1014,5907,1912,9403,365
104,5002,8513,7567,45,7197,2472
105,190,3847,9709,6988,4131,5987
106,2068,7660,125,5687,7028,5667
107,4362,7226,4476,9752,4099,4635
108,144,3950,3181,9416,346,2137
109,6045,2539,6672,3179,1640,5152
110,2129,2521,8727,503,5409,9008
111,4159,2200,2412,1279,7531,624
112,2530,9403,8513,7848,7166,8575
113,4043,3847,45,3654,365,9016
114,4131,1014,9787,8882,2068,2481
115,5687,9564,3284,7426,5987,4635
116,7567,9752,930,2137,6988,125
117,7421,9416,4476,7028,5152,7226
118,503,4362,2539,2145,3950,5002
119,4159,5409,1561,3179,5907,7660
120,4099,144,1912,190,2200,2590
121,9008,8608,624,2472,6672,3181
122,1640,1279,346,9709,5667,2129
123,7197,2412,1622,2485,6045,2521
124,8727,125,8575,7531,2481,3847